number,name
Ecru,Ecru/off-white
Blanc,White
White,White
910,Emerald Green - Dark
911,Emerald Green - Medium
912,Emerald Green - Light
913,Nile Green - Medium
915,Plum - Dark
917,Plum - Medium
918,Red Copper - Dark
919,Red Copper
920,Copper - Medium
921,Copper
922,Copper - Light
924,Gray Green - Very Dark
926,Gray Green - Medium
927,Gray Green - Light
928,Gray Green - Very Light
930,Antique Blue - Dark
931,Antique Blue - Medium
932,Antique Blue - Light
934,Avocado Green - BLACK
935,Avocado Green - Dark
936,Avocado Green - Very Dark
937,Avocado Green - Medium
938,Coffee Brown - Ultra Dark
939,Blue - Very Dark
943,Aquamarine - Medium
945,Tawny
946,Burnt Orange - Medium
947,Burnt Orange
948,Peach - Very Light
950,Desert Sand - Light
951,Tawny - Light
954,Nile Green
955,Nile Green - Light
956,Geranium
957,Geranium - Pale
958,Seagreen - Dark
959,Seagreen - Medium
961,Dusty Rose - Dark
962,Dusty Rose - Medium
963,Dusty Rose - Ultra Very Light
964,Seagreen - Light
966,Baby Green - Medium
967,Peach - Light
970,Pumpkin - Light
971*,Pumpkin
972,Canary - Deep
973,Canary - Bright
974,Winnie The Pooh Gold 2
975,Golden Brown - Dark
976,Golden Brown - Medium
977,Golden Brown - Light
986,Forest Green - Very Dark
987,Forest Green - Dark
988,Forest Green - Medium
989,Forest Green
991,Aquamarine - Dark
992,Aquamarine - Light
993,Aquamarine - Very Light
995,Electric Blue - Dark
996,Electric Blue - Medium
3011,Khaki Green - Dark
3012,Khaki Green - Medium
3013,Khaki Green - Light
3021,Brown Gray - Very Dark
3022,Brown Gray - Medium
3023,Brown Gray - Light
3024,Brown Gray - Very Light
3031,Mocha Brown - Very Dark
3032,Mocha Brown - Medium
3033,Mocha Brown - Very Light
3041,Antique Violet - Medium
3042,Antique Violet - Light
3045,Yellow Beige - Dark
3046,Yellow Beige - Medium
3047,Yellow Beige - Light
3051,Green Gray - Dark
3052,Green Gray - Medium
3053,Green Gray
3064,Desert Sand
3072,Beaver Gray - Very Light
3078,Golden Yellow - Very Light
3325,Baby Blue - Light
3326,Rose - Light
3328,Salmon - Dark
3340,Apricot - Medium
3341,Apricot
3345,Hunter Green - Dark
3346,Hunter Green
3347,Yellow Green - Medium
3348,Yellow Green - Light
3350,Dusty Rose - Ultra Dark
3354,Dusty Rose - Light
3362,Pine Green - Dark
3363,Pine Green - Medium
3364,Pine Green
3371,Black Brown
3607,Plum - Light
3608,Plum - Very Light
3609,Plum - Ultra Light
3684*,Garnet - Extremely Dark
3685,Mauve - Very Dark
3687,Mauve
3688,Mauve - Medium
3689,Mauve - Light
3705,Melon - Dark
3706,Melon - Medium
3708,Melon - Light
3712,Salmon - Medium
3713,Salmon - Very Light
3716,Dusty Rose - Very Light
3721,Shell Pink - Dark
3722,Shell Pink - Medium
3726,Antique Mauve - Dark
3727,Antique Mauve - Light
3731,Dusty Rose - Very Dark
3733,Dusty Rose
3740,Antique Violet - Dark
3743,Antique Violet - Very Light
3746,Blue Violet - Dark
3747,Blue Violet - Very Light
3750,Antique Blue - Very Dark
3752,Antique Blue - Very Light
3753,Antique Blue - Ultra Very Light
3755,Baby Blue
3756,Baby Blue - Light
3760,Wedgewood - Medium
3761,Sky Blue - Light
3765,Peacock Blue - Very Dark
3766,Peacock Blue - Light
3768,Gray Green - Dark
3770,Tawny - Very Light
3771,Peach - Dark
3772,Desert Sand - Very Dark
3773*,Desert Sand - Medium
3774,Desert Sand - Very Light
3776,Mahogany - Light
3777,Terra Cotta - Very Dark
3778,Terra Cotta - Light
3779,Terra Cotta - Ultra Very Light
3781,Mocha Brown - Dark
3782,Mocha Brown - Light
3787,Brown Gray - Dark
3790,Beige Gray - Ultra Dark
3799,Pewter Gray - Very Dark
3801,Melon - Very Dark
3802,Antique Mauve - Very Dark
3803,Mauve - Dark
3804,Cyclamen Pink - Dark
3805,Cyclamen Pink
3806,Cyclamen Pink - Light
3807,Cornflower Blue
3808,Turquoise - Ultra Very Dark
3809,Turquoise - Very Dark
3810,Turquoise - Dark
3811,Turquoise - Very Light
3812,Seagreen - Very Dark
3813,Blue Green - Light
3814,Aquamarine
3815,Celadon Green - Dark
3816,Celadon Green
3817,Celadon Green - Light
3818,Emerald Green - Ultra Very Dark
3819,Moss Green - Light
3820,Straw - Dark
3821,Straw
3822,Straw - Light
3823,Yellow - Ultra Pale
3824,Apricot - Light
3825,Pumpkin - Pale
3826,Golden Brown
3827,Golden Brown - Pale
3828,Hazelnut Brown
3829,Old Gold - Very Dark
3830,Terra Cotta
3831,Raspberry - Dark
3832,Raspberry - Medium
3833,Raspberry - Light
3834,Grape - Dark
3835,Grape - Medium
3836,Grape - Light
3837,Lavender - Ultra Dark
3838,Lavender Blue - Dark
3839,Lavender Blue - Medium
3840,Lavender Blue - Light
3841,Baby Blue - Pale
3842,Wedgewood - Dark
3843,Electric Blue
3844,Bright Turquoise - Dark
3845,Bright Turquoise - Medium
3846,Bright Turquoise - Light
3847,Teal Green - Dark
3848,Teal Green - Medium
3849,Teal Green - Light
3850,Bright Green - Dark
3851,Bright Green - Light
3852,Straw - Very Dark
3853,Autumn Gold - Dark
3854,Autumn Gold - Medium
3855,Autumn Gold - Light
3856,Mahogany - Ultra Very Light
3857,Rosewood - Dark
3858,Rosewood - Medium
3859,Rosewood - Light
3860,Cocoa
3861,Cocoa - Light
3862,Mocha Beige - Dark
3863,Mocha Beige - Medium
3864,Mocha Beige - Light
3865,Winter White
3866,Mocha Brown - Ultra Very Light
3880*,Shell Pink - Light
3881*,Green - Light
3882*,Beige Brown - Dark
3883*,Orange Spice - Light
3884*,Ash Gray - Very Light
3885*,Baby Blue - Very Dark
3886*,Mauve - Very Dark
3887*,Lavender - Very Dark
3888*,Antique Violet - Dark
3889*,Lemon - Light
3890*,Peacock Blue - Light
3891*,Electric Blue - Dark
3892*,Tangerine
3893*,Beige Brown - Ultra Very Light
3894*,Parrot Green - Light
3895*,Beaver Gray - Dark
